p_id,p_type,p_size,p_price,p_status,agent_id
100,sale,1553,159244,sold,202402
101,rent,4874,796954,sold,202404
102,rent,2150,912753,sold,202404
103,sale,3684,474162,sold,202403
104,rent,754,135235,sold,202402
105,rent,4441,335576,available,202403
106,rent,4670,598537,available,202404
107,rent,1357,666456,available,202402
108,rent,863,847342,available,202404
109,rent,4023,222410,available,202404
110,rent,4772,226564,available,202403
111,rent,2939,246662,available,202404
112,rent,2996,270163,sold,202401
113,sale,4162,284479,available,202402
114,rent,2531,655896,sold,202404
115,sale,1330,389149,available,202402
116,sale,868,502941,sold,202404
117,sale,1494,425924,available,202402
118,rent,1289,512449,available,202404
119,rent,2278,538173,available,202403
120,rent,4974,581572,available,202401
121,sale,1984,527152,available,202402
122,sale,2146,239656,available,202403
123,rent,1532,204775,sold,202404
124,sale,2154,709187,available,202402
125,rent,3487,617544,available,202404
126,rent,3665,602216,sold,202402
127,sale,2048,642909,available,202403
128,rent,1096,544955,sold,202404
129,rent,1950,253216,sold,202401
130,sale,1231,690510,sold,202403
131,rent,3907,286067,sold,202404
132,sale,3193,350662,sold,202404
133,sale,2338,882923,available,202401
134,sale,3854,206704,sold,202403
135,sale,845,574944,available,202401
136,rent,2237,606780,sold,202402
137,sale,3441,311815,available,202402
138,sale,778,548780,available,202402
139,sale,803,548000,available,202401
140,rent,2898,962189,available,202404
141,rent,1399,483334,available,202401
142,rent,4355,199090,sold,202403
143,rent,2195,914700,sold,202402
144,sale,564,291939,sold,202402
145,rent,2599,215905,available,202404
146,sale,3311,538760,sold,202401
147,rent,4643,888504,sold,202404
148,rent,3003,743807,available,202403
149,rent,3259,411116,available,202403
150,sale,4924,711493,available,202404
151,sale,2517,428227,available,202402
152,rent,4241,465318,sold,202401
153,rent,1160,232415,available,202404
154,rent,1162,144358,sold,202404
155,sale,4017,165727,sold,202401
156,rent,4686,866278,available,202401
157,sale,2633,54782,sold,202403
158,sale,2011,993079,available,202402
159,sale,1277,227802,sold,202401
160,sale,3010,474787,sold,202404
161,rent,958,964498,sold,202401
162,sale,2654,760901,available,202404
163,sale,3831,608466,sold,202403
164,rent,4264,999282,sold,202403
165,sale,2716,912308,sold,202404
166,rent,2449,505483,available,202403
167,rent,3712,758157,sold,202402
168,rent,4133,582490,sold,202404
169,sale,2961,860050,available,202401
170,rent,1900,735955,sold,202401
171,sale,4169,898051,sold,202402
172,rent,947,877427,available,202401
173,sale,3208,938994,available,202404
174,sale,4297,577539,sold,202404
175,sale,4316,862012,sold,202401
176,sale,1197,530032,sold,202404
177,sale,2186,392215,available,202403
178,rent,3155,683563,sold,202404
179,rent,1963,821458,available,202402
180,sale,2272,590402,available,202404
181,rent,2820,224222,available,202402
182,rent,4236,847869,sold,202402
183,sale,4485,117778,available,202402
184,sale,2444,434713,sold,202404
185,rent,4648,906886,sold,202403
186,sale,4405,301847,sold,202403
187,rent,1037,598051,sold,202404
188,sale,1799,976308,sold,202404
189,rent,4518,508786,available,202402
190,sale,3025,384807,sold,202404
191,sale,556,228552,sold,202404
192,sale,2903,349030,sold,202401
193,rent,4851,553861,available,202402
194,rent,4420,198359,sold,202401
195,sale,814,294998,sold,202403
196,sale,4406,674514,sold,202403
197,sale,696,867116,sold,202402
198,rent,2270,996829,sold,202403
199,sale,1131,835012,sold,202403
200,rent,2386,203679,sold,202404
201,sale,1282,71568,available,202403
202,rent,883,671863,sold,202401
203,rent,1217,721427,sold,202404
204,sale,2850,652189,sold,202402
205,rent,791,442649,sold,202404
206,rent,3256,799863,sold,202404
207,sale,1421,811910,available,202401
208,sale,2417,349397,sold,202401
209,sale,3484,108842,available,202402
210,sale,2961,571346,sold,202401
211,sale,4167,976598,available,202401
212,rent,3577,966372,available,202401
213,rent,2874,104665,sold,202402
214,rent,2432,533823,sold,202403
215,sale,4116,265819,available,202404
216,sale,3038,632958,available,202403
217,sale,2587,979326,available,202401
218,sale,3011,555976,available,202403
219,rent,4809,962494,sold,202402
220,rent,4882,183535,available,202403
221,rent,3649,87580,sold,202402
222,rent,3271,438525,available,202401
223,sale,2075,295360,available,202404
224,rent,3098,628555,available,202401
225,rent,4467,273567,available,202401
226,sale,2239,833448,sold,202401
227,sale,4068,974760,sold,202401
228,sale,1365,554527,sold,202401
229,sale,4700,598189,available,202404
230,sale,1325,459851,sold,202404
231,rent,4645,456520,available,202403
232,sale,3062,745664,available,202401
233,sale,4202,672273,available,202404
234,rent,1672,522393,sold,202404
235,rent,4955,817186,sold,202402
236,rent,768,526974,sold,202401
237,sale,2721,619416,available,202403
238,rent,1451,772553,sold,202404
239,sale,2009,773478,sold,202403
240,rent,2700,160408,available,202402
241,sale,3263,802184,available,202401
242,sale,4085,973108,sold,202401
243,rent,2224,196827,sold,202403
244,sale,2547,684821,available,202402
245,rent,1672,342623,available,202402
246,sale,4124,139280,available,202402
247,rent,4610,113826,available,202404
248,sale,565,756676,sold,202402
249,sale,3727,969819,sold,202401
250,rent,1086,450425,available,202404
251,rent,3697,439013,available,202404
252,rent,3122,431792,sold,202403
253,rent,2543,66957,available,202403
254,rent,4430,147250,sold,202402
255,sale,4706,958466,available,202404
256,sale,1713,548038,available,202402
257,sale,2633,390874,available,202401
258,rent,3143,995735,available,202403
259,rent,844,805093,available,202402
260,rent,1489,754988,available,202404
261,sale,4505,465561,available,202401
262,sale,3052,836226,sold,202402
263,rent,2468,69524,available,202401
264,sale,2513,794989,available,202403
265,rent,4188,318559,sold,202401
266,rent,4787,983184,sold,202404
267,sale,3041,623217,available,202403
268,rent,2805,925733,available,202404
269,rent,568,374743,sold,202403
270,sale,1419,301188,available,202404
271,rent,3692,881504,sold,202401
272,sale,1065,910723,available,202401
273,sale,3763,164139,sold,202402
274,rent,2140,814676,available,202401
275,sale,903,334332,available,202403
276,rent,3563,868995,available,202403
277,sale,3787,128011,available,202401
278,sale,3182,347331,available,202403
279,sale,4123,566960,sold,202404
280,rent,4258,912349,sold,202402
281,rent,2963,544505,available,202401
282,sale,3168,957741,sold,202402
283,sale,1257,358080,sold,202403
284,sale,2336,359684,available,202403
285,rent,2602,875880,sold,202403
286,sale,3440,882339,available,202402
287,rent,4006,956349,available,202401
288,rent,1268,917475,sold,202404
289,sale,2936,789559,available,202402
290,sale,1357,893110,available,202402
291,sale,928,726795,sold,202403
292,rent,2446,403235,sold,202402
293,rent,1390,336374,sold,202401
294,rent,4092,732437,sold,202403
295,rent,2876,299031,sold,202404
296,sale,2563,813887,available,202404
297,sale,3816,656738,available,202402
298,rent,4395,915177,sold,202403
299,sale,2538,644951,sold,202403
300,sale,2238,983909,available,202403
301,sale,523,137690,available,202402
302,sale,3970,140643,available,202404
303,rent,3421,770769,sold,202402
304,rent,3674,746491,available,202401
305,rent,1497,930366,sold,202401
306,sale,2852,702040,available,202403
307,rent,2852,490845,sold,202401
308,rent,1359,821367,available,202401
309,rent,1489,638247,sold,202402
310,sale,3826,803783,sold,202403
311,rent,3668,750948,sold,202402
312,rent,1227,458187,available,202402
313,rent,887,255763,available,202402
314,rent,4208,247217,sold,202401
315,rent,2008,548908,available,202403
316,sale,3439,439121,sold,202403
317,sale,4156,884182,available,202401
318,sale,2452,949076,available,202402
319,sale,1186,711496,sold,202403
320,sale,2753,812414,sold,202403
321,sale,3126,466251,available,202401
322,sale,2622,76445,sold,202404
323,sale,3463,566348,available,202403
324,sale,3484,576646,available,202402
325,sale,4780,247713,sold,202402
326,rent,4955,562624,available,202404
327,sale,3324,439638,sold,202403
328,rent,1353,145687,sold,202404
329,rent,2442,410599,available,202404
330,rent,4730,337442,sold,202401
331,rent,2149,865377,sold,202403
332,sale,3411,316383,available,202403
333,rent,1684,261192,available,202404
334,sale,3600,638514,sold,202402
335,rent,1225,788225,sold,202403
336,sale,3392,811610,available,202401
337,sale,3105,486765,available,202401
338,rent,1327,661670,sold,202404
339,rent,3952,643739,available,202404
340,rent,3219,778562,sold,202403
341,sale,4112,242442,sold,202402
342,sale,4475,688236,sold,202404
343,rent,2266,586748,available,202402
344,sale,4586,666079,sold,202404
345,rent,3620,663013,sold,202401
346,sale,1306,371727,available,202401
347,rent,1511,805893,available,202403
348,rent,4921,241213,available,202403
349,rent,3891,169534,sold,202401
350,rent,4542,508708,available,202401
351,rent,1235,754928,available,202403
352,sale,3643,128051,available,202401
353,rent,2511,182366,sold,202404
354,rent,4723,719654,available,202402
355,rent,4904,438577,sold,202404
356,sale,2081,472424,available,202402
357,sale,3614,55693,available,202402
358,rent,1537,547908,sold,202401
359,sale,2277,918295,sold,202402
360,sale,4607,149220,available,202402
361,sale,1236,688114,available,202404
362,sale,1455,923168,sold,202402
363,sale,2817,813051,available,202402
364,sale,1241,219999,available,202401
365,sale,4345,413839,available,202403
366,rent,3227,453467,sold,202403
367,rent,4939,228262,sold,202404
368,rent,4023,520176,available,202401
369,sale,1545,725558,sold,202403
370,rent,4797,662888,available,202402
371,sale,3093,566252,sold,202404
372,sale,4394,285712,sold,202404
373,rent,4689,154660,sold,202401
374,rent,2621,925114,available,202402
375,rent,1709,925342,sold,202403
376,rent,1499,314833,available,202401
377,rent,1667,872846,available,202401
378,sale,1557,423408,sold,202404
379,rent,740,686645,sold,202404
380,rent,1921,521373,available,202402
381,sale,1806,452136,sold,202402
382,rent,1221,808508,sold,202402
383,sale,2061,509437,available,202403
384,rent,3743,465592,sold,202402
385,sale,3205,436469,available,202402
386,rent,3622,852871,sold,202403
387,rent,4097,900363,available,202401
388,sale,1085,291558,available,202402
389,sale,2422,843367,available,202404
390,rent,2087,901583,available,202401
391,sale,1921,442137,sold,202404
392,sale,3620,786433,sold,202402
393,sale,3465,490612,sold,202404
394,rent,4889,255972,sold,202404
395,rent,574,443855,available,202404
396,sale,2493,578053,available,202402
397,rent,1345,327534,sold,202402
398,rent,1341,355727,sold,202404
399,rent,3169,932457,sold,202403
400,sale,3638,575271,available,202404
401,rent,1020,961727,sold,202402
402,sale,3109,349934,sold,202401
403,rent,3403,917233,sold,202404
404,rent,3911,355584,available,202404
405,rent,4276,343151,available,202403
406,rent,695,922420,available,202402
407,rent,3490,978057,sold,202404
408,rent,2708,306065,available,202402
409,rent,4577,668956,available,202401
410,sale,4336,335636,sold,202404
411,rent,1123,811930,sold,202402
412,rent,2023,948702,available,202402
413,sale,4783,881130,available,202404
414,rent,4929,142969,available,202404
415,rent,2158,417978,sold,202404
416,sale,1462,210922,sold,202401
417,rent,1801,726216,sold,202402
418,sale,4587,910448,sold,202402
419,sale,1072,990384,available,202404
420,sale,1424,936104,available,202404
421,rent,996,727888,available,202401
422,sale,3599,60765,available,202401
423,sale,3175,708459,sold,202401
424,sale,2892,544882,sold,202403
425,sale,590,74450,available,202403
426,rent,4170,73828,available,202404
427,rent,4742,133784,available,202401
428,rent,3453,698641,available,202403
429,sale,899,973248,available,202402
430,sale,3091,916298,sold,202404
431,rent,4829,51512,sold,202401
432,sale,1742,220980,available,202404
433,sale,1080,648840,available,202401
434,sale,1294,591948,sold,202403
435,rent,752,140141,sold,202401
436,sale,886,970406,sold,202401
437,sale,3615,191390,available,202403
438,sale,1377,90871,sold,202404
439,rent,2174,936154,sold,202401
440,rent,867,316736,available,202403
441,sale,3928,951861,sold,202404
442,sale,3666,130566,sold,202401
443,rent,2384,798193,sold,202402
444,sale,3443,338650,sold,202401
445,rent,816,960735,sold,202402
446,sale,2315,529272,available,202402
447,sale,907,684494,sold,202404
448,rent,2613,756998,sold,202401
449,sale,4597,92068,sold,202404
450,sale,638,401140,available,202402
451,rent,1948,786663,sold,202404
452,sale,1233,605237,available,202403
453,rent,3681,548350,sold,202401
454,rent,607,708969,available,202402
455,sale,2071,835623,sold,202404
456,rent,4642,601770,available,202401
457,sale,3228,77038,available,202401
458,rent,811,160990,available,202402
459,sale,2564,164550,sold,202404
460,rent,3863,605184,sold,202403
461,rent,948,432215,available,202401
462,rent,4944,375340,sold,202403
